CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
SC_SALES_SUPPLYCHAIN_US	Distinct Club Current Inventory	Distinct Current Value	False		DistinctCount		olap_DISTINCT_STORE_CURRENT_INVENTORY	DistinctValue	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Committed Stock	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	CommittedStock	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	DD	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	DD	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Counter Stock	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	CounterStock	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Group Lead Time	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	GroupLeadTime	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Available Stock	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	AvailableStock	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Order Point	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	OrderPoint	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Order Strategy	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	OrderStrategy	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Order Upto Level	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	OrderUptoLevel	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Raw Order Qty	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	RawOrderQty	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Total Order Quantity	True	#,##0.00	Sum	Supply Chain\Detailed Repl Analysis	olap_DRA	TotalOrderQuantity	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Resultant Base Index	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	ResultantBaseIndex	Core Measure
SC_SALES_SUPPLYCHAIN_US	DRA	Safety Stock	True	#,##0.00	AverageOfChildren	Supply Chain\Detailed Repl Analysis	olap_DRA	SafetyStock	Core Measure
SC_SALES_SUPPLYCHAIN_US	Weekly Forecast	Weekly Forecast Qty	True	#,##0	Sum	Supply Chain\Forecast	olap_WEEKLY_FORECAST	Forecast	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store	Store Count	True	#,##0	Count	Supply Chain\Points of Distribution	olap_STORE_FACT		Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Total Unit Sold Weekly	False		Sum		olap_STORE_SALES_WEEKLY	TotalUnitSold	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Total Sell Dollars Weekly	False		Sum		olap_STORE_SALES_WEEKLY	TotalSellDollars	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Avg On Hand Qty Weekly	False		AverageOfChildren		olap_STORE_SALES_WEEKLY	AvgOnHandQty	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Total Cost Dollars Weekly	False		Sum		olap_STORE_SALES_WEEKLY	TotalCostDollars	Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Total POS Count Weekly	False		Count		olap_STORE_SALES_WEEKLY		Core Measure
SC_SALES_SUPPLYCHAIN_US	Store Sales Weekly	Store Sales Weekly Count	True		Count		olap_STORE_SALES_WEEKLY		Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	Day Count	False	#,##0	Count		olap_MULTIPLE_CALENDAR		Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Total Sell Dollars	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Total Unit Sold	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY COMP Club Sales	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY COMP Club Qty	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Club Specific Cost	True	#,##0	Sum	Cost\Total Cost\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Club Specific Retail	True	#,##0	Sum	Sales\Pricing\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Hand Qty	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Units Received Qty	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Rec Cost	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Rec Sell	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Club RC Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Club VC Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Wk Adj Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY POS Cases	True	#,##0	Sum	Sales\Total Sales\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY POS Qty Equivalent Units	False	#,##0	Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg On Hand Cases	True	#,##0	AverageOfChildren	Supply Chain\Inventory Position\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Inv Markup Pct	False		Sum		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY WHPK Cost	True	#,##0	Sum	Cost\Total Cost\TYLY	olap_MULTIPLE_CALENDAR	Metrics	Core Measure
SC_SALES_SUPPLYCHAIN_US	Calendar	LY Avg Unit Inv Sell Count	False	#,##0	Count		olap_MULTIPLE_CALENDAR	Metrics	Core Measure
