CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Club Specific Retail	True	#,##0	Sum	Sales\Pricing	STORE_FACT	Club Specific Retail	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Club VC Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments	STORE_FACT	Club VC Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Cust Def Qty	True	#,##0	Sum	BFW METRICS	STORE_FACT	Cust Def Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Inv Markup Pct	True	#,##0	Sum	BFW METRICS	STORE_FACT	Inv Markup Pct	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Rec Markup Pct	True	#,##0	Sum	BFW METRICS	STORE_FACT	Rec Markup Pct	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Units Received Qty	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Units Received Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	WHPK Cost	True	#,##0	Sum	Cost\Total Cost	STORE_FACT	WHPK Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Wk Adj Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments	STORE_FACT	Wk Adj Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Adj Cost Amount	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	LY_STORE_FACT	Adj Cost Amount	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg On Hand Cost Dollars	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg On Hand Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg On Hand Sell Dollars	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg On Hand Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg On Order Cost Dollars	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg On Order Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg On Order Qty	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg On Order Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg On Order Sell Dollars	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg On Order Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg Unit Rec Cost	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg Unit Rec Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Avg Unit Rec Sell	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Avg Unit Rec Sell	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Claims Onhand Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	LY_STORE_FACT	Claims Onhand Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Club RC Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	LY_STORE_FACT	Club RC Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Club Specific Cost	True	#,##0	Sum	Cost\Total Cost\TYLY	LY_STORE_FACT	Club Specific Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Club Specific Retail	True	#,##0	Sum	Sales\Pricing\TYLY	LY_STORE_FACT	Club Specific Retail	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Club VC Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	LY_STORE_FACT	Club VC Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Inv Markup Pct	True	#,##0	Sum	BFW METRICS\TYLY	LY_STORE_FACT	Inv Markup Pct	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Rec Markup Pct	True	#,##0	Sum	BFW METRICS\TYLY	LY_STORE_FACT	Rec Markup Pct	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Units Received Qty	True	#,##0	Sum	Supply Chain\Inventory Position\TYLY	LY_STORE_FACT	Units Received Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY WHPK Cost	True	#,##0	Sum	Cost\Total Cost\TYLY	LY_STORE_FACT	WHPK Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT	LY Wk Adj Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments\TYLY	LY_STORE_FACT	Wk Adj Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Rec Equivalent Temp	True	#,##0	Sum	Sales\Total Sales	STORE_FACT_COMPUTED	Rec Equivalent Temp	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Store Sales Count Internal	False	#,###	Count		STORE_FACT_COMPUTED		Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Cost Dollars As Pct Of Rtl Sales Count	True	#,###	Count		STORE_FACT_COMPUTED	Cost Dollars As Pct Of Rtl Sales	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Cost Dollars As Pct Of Rtl Cost Count	True	#,###	Count		STORE_FACT_COMPUTED	Cost Dollars As Pct Of Rtl Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Sum Cost Dollars As Pct Of Rtl Sales	True	#,###	Count		STORE_FACT_COMPUTED	Cost Dollars As Pct Of Rtl Sales	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Sum Cost Dollars As Pct Of Rtl Cost	True	#,###	Count		STORE_FACT_COMPUTED	Cost Dollars As Pct Of Rtl Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Rec Cost	True		Sum		STORE_FACT_COMPUTED	Rec Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Rec Sell	True		Sum		STORE_FACT_COMPUTED	Rec Sell	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	COMP Club Sales	True		Sum		STORE_FACT_COMPUTED	Calculated COMP Club Sales	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	COMP Club Qty	True		Sum		STORE_FACT_COMPUTED	Calculated COMP Club Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Comp POS Qty Equivalent Units	True		Sum		STORE_FACT_COMPUTED	Comp POS Qty Equivalent Units	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT COMPUTED	Rec Equivalent	True		Sum		STORE_FACT_COMPUTED	Rec Equivalent	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY Rec Equivalent Temp	True	#,##0	Sum	Sales\Total Sales\TYLY	LY_STORE_FACT_COMPUTED	Rec Equivalent Temp	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY COMP Club Sales	True		Sum		LY_STORE_FACT_COMPUTED	Calculated COMP Club Sales	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY COMP Club Qty	True		Sum		LY_STORE_FACT_COMPUTED	Calculated COMP Club Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY Rec Cost	True		Sum		LY_STORE_FACT_COMPUTED	Rec Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY STORE FACT COMPUTED	LY Rec Sell	True		Sum		LY_STORE_FACT_COMPUTED	Rec Sell	Core Measure
