,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
81,002738,中矿资源,0.98,,3.82,29.31,0.93,8252.83,,,12-11
82,603588,高能环境,1.2,,5.16,38.3,-0.58,12451.05,,,12-11
83,002737,葵花药业,1.74,,4.83,44.13,2.35,19085.6,,,12-11
84,603017,中衡设计,2.33,,5.22,42.55,1.28,6540.78,,,12-11
85,601021,春秋航空,1.61,,4.83,40.03,2.33,48318.67,,,12-11
86,002736,国信证券,0.26,,,10.44,-1.64,182160.36,-41.43,,12-11
87,300412,迦南科技,0.84,,2.64,36.88,0.53,3363.52,,,12-11
88,603889,新澳股份,1.23,,,35.43,1.31,9818.17,,,12-11
89,601020,华钰矿业,,,,33.45,,19245.26,,,11-28
90,300443,金雷风电,0.96,,5.15,21.44,-0.86,4088.53,,,11-27
91,300426,唐德影视,0.66,,2.34,32.46,0.15,3957.86,,,11-27
92,603901,永创智能,0.72,,,33.25,0.62,5033.0,,,11-27
93,300422,博世科,0.67,,2.7,28.12,0.46,3094.49,,,11-27
94,601689,拓普集团,0.4,,,24.7,0.41,20569.3,,,11-20
95,603022,新通联,0.78,,,46.57,0.78,4702.11,,,11-19
96,300408,三环集团,1.08,,2.53,50.86,1.05,41369.47,,,11-14
97,603518,维格娜丝,0.9,20.0,,43.05,0.93,9110.11,69.53,,11-14
98,300407,凯发电气,1.19,,4.23,32.21,0.79,6063.8,,,11-14
99,603368,柳州医药,0.93,,3.05,35.93,1.48,8352.9,,,11-14
100,002735,王子新材,0.63,,3.03,23.09,0.77,3759.68,,,11-14
101,603618,杭电股份,0.14,,,4.51,0.47,1978.82,,,11-14
102,601969,海南矿业,0.74,19.35,1.99,42.1,0.61,123544.74,19.03,,11-14
103,603568,伟明环保,0.17,,1.67,13.11,0.4,6972.62,,,11-14
104,002733,雄韬股份,0.79,,4.49,19.31,2.23,8086.7,47.33,,11-14
105,601226,华电重工,0.37,,,28.78,0.04,22697.1,,,11-14
106,002732,燕塘乳业,0.43,,1.67,28.7,0.6,5105.55,,,11-14
107,300409,道氏技术,0.88,,3.32,39.03,-0.35,4140.54,,,11-14
108,603939,益丰药房,0.47,,2.95,16.66,1.02,5587.88,,,11-14
109,603998,方盛制药,0.63,,2.88,24.41,0.8,5187.59,,,11-14
110,300503,昊志机电,0.68,,3.0,27.77,0.45,4743.48,,,10-29
111,603166,福达股份,0.44,10.0,1.36,38.1,-0.27,17080.25,10.17,,10-16
112,300405,科隆精化,1.26,18.94,4.24,35.07,-0.45,6430.14,22.63,,10-16
113,603088,宁波精达,1.01,,3.95,29.84,0.85,6075.44,24.21,,10-16
114,300403,地尔汉宇,0.8,45.89,2.56,36.45,0.18,8023.81,76.79,,10-16
115,603011,合锻智能,0.43,,2.2,21.43,0.18,5720.04,,,10-16
116,002731,萃华珠宝,0.68,,,26.47,0.79,7694.16,,,10-16
117,603019,中科曙光,0.55,,2.19,29.0,0.79,12357.26,,,10-16
118,002724,海洋王,0.54,1.06,2.3,25.9,0.45,18989.85,1.06,,10-16
119,601015,陕西黑猫,0.58,,3.11,20.77,0.34,29198.89,,,10-16
120,300405,科隆精化,1.26,18.94,4.24,35.07,-0.45,6430.14,22.63,,10-16
121,603088,宁波精达,1.01,,3.95,29.84,0.85,6075.44,24.21,,10-16
122,300403,地尔汉宇,0.8,45.89,2.56,36.45,0.18,8023.81,76.79,,10-16
123,002741,光华科技,0.61,,,31.24,0.74,5500.28,,,10-11
124,300402,宝色股份,0.37,32.14,2.27,17.05,0.38,5588.36,33.59,,09-17
125,300399,京天利,0.93,,2.61,42.81,0.6,5364.72,56.43,,09-16
126,603169,兰石重装,0.19,,1.33,16.66,-0.06,9065.08,,,09-16
127,300398,飞凯材料,0.71,,2.3,36.41,0.48,4245.39,,,09-16
128,603018,设计股份,1.5,,5.52,30.9,-0.41,11726.82,,,09-16
129,002730,电光科技,0.7,,,26.14,-0.05,7668.92,,,09-16
130,603010,万盛股份,0.67,,2.32,28.07,1.04,5018.68,,,09-16
131,300401,花园生物,2.17,,6.32,41.48,1.19,14768.52,,,09-16
132,603606,东方电缆,0.76,,3.83,21.98,-1.36,8318.32,,,09-16
133,300400,劲拓股份,0.68,15.25,2.56,30.08,0.32,4077.21,15.61,,09-16
134,603456,九洲药业,0.75,-49.32,2.93,29.44,0.71,11704.97,6.54,,09-16
135,603885,吉祥航空,1.11,,,59.6,1.48,52198.81,,,09-15
136,603315,福鞍股份,0.68,,3.7,18.74,0.94,5115.26,,,09-11
137,300428,四通新材,0.6,,2.38,29.02,0.47,3586.26,,,09-02
138,300395,菲利华,1.19,,4.42,31.66,0.96,5771.72,,,08-20
139,603188,亚邦股份,0.83,,3.42,26.69,0.59,17972.4,,,08-20
140,300393,中来股份,0.55,,1.33,51.77,0.26,4469.32,,,08-20
141,601016,节能风电,0.1,23.17,,6.75,0.54,16114.32,23.25,,08-20
142,300392,腾信股份,1.21,,4.14,34.06,0.84,5790.17,,,08-20
143,600917,重庆燃气,0.2,5.26,1.72,11.74,0.38,28061.17,22.9,,08-20
144,002729,好利来,0.64,,2.56,28.47,0.21,3199.89,,,08-20
145,300397,天和防务,1.49,16.41,4.1,44.3,1.28,13383.41,16.05,,08-20
146,603806,福斯特,1.79,11.18,3.8,60.39,0.8,61106.33,10.76,,08-20
