,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600401,海润光伏,-0.25,-1329.56,,-27.11,,-117934.35,-1327.45,,04-29
1,000835,长城动漫,-0.25,-516.67,1.09,-20.69,,-8063.21,-538.54,,04-29
2,600783,鲁信创投,0.5,66.67,,10.4,,37230.9,66.15,10派1.5,04-29
3,000957,中通客车,0.99,-37.34,,24.74,,58581.18,46.72,,04-29
4,000564,供销大集,0.12,54.0,,3.06,,40140.11,845.35,10派0.22,04-29
5,000657,中钨高新,0.02,-102.58,,0.45,,1330.4,-102.58,,04-29
6,002122,天马股份,-0.21,-625.0,,-5.48,,-25216.16,-634.09,,04-29
7,600877,中国嘉陵,-0.45,92.52,,,,-30778.68,92.5,,04-29
8,300093,金刚玻璃,0.02,0.0,,0.53,,468.38,1.35,10派0.02,04-29
9,600613,神奇制药,0.34,-22.73,,7.84,,18205.98,-16.0,10派0.3,04-29
10,600238,海南椰岛,-0.08,-366.67,,-4.0,,-3525.01,-368.71,,04-29
11,002416,爱施德,0.19,31.99,,3.88,,18775.19,33.51,,04-29
12,600295,鄂尔多斯,0.26,13.04,,3.63,,26563.17,10.25,10派0.5,04-29
13,002143,印纪传媒,0.66,27.08,,37.72,,73095.49,27.27,10派0.9转6,04-29
14,002180,艾派克,0.06,-88.21,,3.31,,6107.51,-78.29,10派0.3,04-29
15,000042,中洲控股,0.4,-52.74,,4.57,,26053.26,-35.06,10派0.8,04-29
16,000066,中国长城,0.03,-192.59,,1.25,,3314.78,-192.94,,04-29
17,600900,长江电力,0.94,35.29,,16.88,,2078118.26,80.39,10派13.75,04-29
18,600053,九鼎投资,1.45,119.16,,43.91,,62794.41,119.15,10派4.35,04-29
19,300135,宝利国际,0.03,15.38,,2.33,,2724.11,1.53,10派0.2,04-29
20,600250,南纺股份,0.07,-141.18,,5.25,,1719.22,-139.44,,04-29
21,000697,炼石有色,-0.07,-163.67,,-2.63,,-3803.83,-163.63,,04-29
22,002769,普路通,0.51,-58.54,,17.37,,19090.84,11.68,10派1,04-29
23,000736,中房地产,0.04,-60.0,,0.72,,1186.73,-58.25,10派0.2,04-29
24,600747,大连控股,-0.07,16.67,,-4.93,,-9846.45,19.98,,04-29
25,600388,龙净环保,0.62,19.23,,17.4,,66390.73,18.52,10派1.9,04-29
26,600485,信威集团,0.52,-20.0,,12.75,,152695.92,-19.69,,04-29
27,600960,渤海活塞,0.12,192.0,,4.68,,11791.6,428.15,10派0.26,04-29
28,000593,大通燃气,-0.17,-438.0,,-6.36,,-5508.43,-490.82,,04-29
29,600686,金龙汽车,-1.18,-221.65,,-20.48,,-71859.05,-234.27,,04-29
30,600776,东方通信,0.07,-46.04,,3.09,,9162.5,-46.04,10派0.6,04-29
31,000065,北方国际,0.95,15.85,,16.79,,46104.9,110.67,10派0.9,04-29
32,600811,东方集团,0.32,-16.24,,4.91,,76227.01,18.66,,04-29
33,600098,广州发展,0.25,-48.64,,4.51,,66896.33,-48.64,10派1,04-29
34,000410,沈阳机床,-1.83,119.56,,-103.34,,-140332.93,119.95,,04-29
35,600847,万里股份,-0.28,115.38,,-6.21,,-4270.03,115.52,,04-29
36,000518,四环生物,0.0,-105.95,,0.73,,447.29,-106.01,,04-29
37,600985,雷鸣科化,0.34,-22.73,,7.86,,9006.22,-22.51,10派1,04-29
38,600208,新湖中宝,0.66,371.43,,24.37,,583846.08,403.0,,04-29
39,000599,青岛双星,0.14,55.56,,3.67,,9533.89,55.62,10派0.2,04-29
40,600637,东方明珠,1.12,-27.14,,11.42,,293401.42,0.94,10派3.4,04-29
41,600654,中安消,0.21,-4.55,,9.31,,27410.47,-2.15,,04-29
42,600281,太化股份,0.06,-118.58,,6.16,,3293.2,-118.58,,04-29
43,600004,白云机场,1.21,11.01,,13.53,,139385.3,11.23,10派3.7送4.5,04-29
44,600781,辅仁药业,0.1,-37.5,,4.88,,1765.67,-36.43,,04-29
45,600423,柳化股份,-2.04,67.21,,,,-81623.98,68.11,,04-29
46,300343,联创互联,0.36,20.0,,5.93,,20140.22,553.59,10派1,04-29
47,600854,春兰股份,0.02,8.37,,0.63,,1208.92,8.02,,04-29
48,300392,腾信股份,-0.69,-281.58,,-41.96,,-26582.68,-280.6,,04-29
49,600177,雅戈尔,1.51,-22.96,,16.68,,368474.73,-15.71,10派5转4,04-29
50,603567,珍宝岛,0.6,-58.68,,12.27,,50956.09,-12.94,10派1.81,04-29
51,600642,申能股份,0.54,15.6,,10.09,,246090.91,15.46,10派2.2,04-29
52,002072,凯瑞德,0.08,-113.62,,16.19,,1435.64,-113.56,,04-29
53,601166,兴业银行,2.77,5.32,17.02,17.28,10.66,5385000.0,7.26,,04-29
54,600661,新南洋,0.71,204.22,,21.01,,18286.57,204.26,,04-29
55,600730,中国高科,0.96,336.36,,33.62,,56350.26,709.67,,04-29
56,600746,江苏索普,0.07,-207.24,,5.09,,2178.27,-207.28,10派0.35,04-29
57,000818,方大化工,0.16,-8.06,,5.16,,11207.66,-7.75,10派0.47,04-29
58,600432,*ST吉恩,-1.36,-24.02,,-52.61,,-218598.01,-23.82,,04-29
59,000592,平潭发展,0.01,-76.14,,0.64,,2027.96,-46.22,,04-29
60,000611,*ST天首,0.02,-101.44,,2.67,,512.89,-101.44,,04-29
61,600236,桂冠电力,0.43,-21.07,,20.07,,259455.11,0.99,10派1.3,04-29
62,000681,视觉中国,0.31,33.28,,9.81,,21465.92,36.24,,04-29
63,002548,金新农,0.42,27.27,,9.96,,15882.27,53.38,10派1.5,04-29
64,000155,*ST川化,1.85,-254.17,,-87.19,,86858.33,-253.64,,04-29
65,600881,亚泰集团,0.06,-175.0,,1.31,,15193.23,-180.14,,04-29
66,002323,雅百特,0.32,-76.88,,33.96,,24090.29,-9.5,10派0.34,04-29
67,600653,申华控股,0.04,15.84,,2.99,,6660.28,25.7,,04-29
68,600690,青岛海尔,0.83,17.16,,20.41,,503665.22,17.11,10派2.48,04-29
69,002504,弘高创意,0.23,-64.62,,23.81,,23976.34,-11.2,,04-29
70,000909,数源科技,0.07,-27.0,,2.86,,2144.3,-23.91,10派0.39,04-29
71,600193,创兴资源,-0.3,-300.0,,-39.86,,-12790.88,-298.72,,04-29
72,600587,新华医疗,0.09,-86.96,,1.07,,3463.63,-87.67,10派0.45,04-29
73,002055,得润电子,0.09,-55.84,,2.17,,3867.56,-54.6,,04-29
74,600322,天房发展,-0.34,-8392.68,,-8.66,,-37676.76,-8482.29,,04-29
75,600745,中茵股份,0.08,-126.67,,1.12,,4798.15,-132.76,,04-29
76,000033,*ST新都,0.01,-95.24,,44.87,,560.65,-91.96,,04-29
77,603077,和邦生物,0.09,28.57,,4.29,,31781.08,32.5,10派0.1送2转10,04-29
78,000932,华菱钢铁,-0.35,-64.34,,-15.61,,-105516.68,-64.34,,04-29
79,600576,万家文化,0.17,240.0,,6.14,,10876.51,293.94,,04-29
80,600647,同达创业,0.58,18.3,,25.32,,8061.22,18.31,10派1.05,04-29
81,000801,四川九洲,0.19,-56.26,,8.22,,19056.41,-12.02,10派0.2,04-29
82,002514,宝馨科技,-0.15,-188.24,,-8.48,,-8106.86,-273.37,,04-29
83,000982,中银绒业,-0.59,22.38,,-44.42,,-106021.41,21.26,,04-29
84,000686,东北证券,0.58,-56.72,,9.36,,131494.12,-50.0,10派1,04-29
85,600379,宝光股份,0.15,31.62,,7.98,,3614.45,31.64,10派0.46,04-29
86,300277,海联讯,0.08,30.0,,5.5,,2612.1,240.05,10派0.5,04-29
87,600988,赤峰黄金,0.45,32.35,,13.94,,32125.82,38.93,,04-29
88,600247,ST成城,-0.64,-829.41,,-245.32,,-21447.7,-829.17,,04-29
89,002070,众和股份,-0.08,-67.11,,-7.12,,-4829.56,-67.11,,04-29
90,002439,启明星辰,0.31,6.9,,12.69,,26517.19,8.62,10派1,04-29
91,603919,金徽酒,0.85,7.59,5.86,16.28,,22186.58,33.81,,04-29
92,600339,*ST油工,0.28,-117.04,,4.43,,128753.91,-235.87,,04-29
93,000789,万年青,0.37,-7.77,,8.44,,22925.0,-7.79,10派2,04-29
94,601888,中国国旅,1.85,20.08,,15.26,,180819.05,20.07,10派10转10,04-29
95,600072,中船科技,-0.08,-270.21,,-1.52,,-4292.95,-291.16,,04-29
96,600500,中化国际,0.03,-86.96,,0.51,,5724.65,-88.09,10派0.9,04-29
97,000506,中润资源,0.01,-59.4,,0.6,,878.93,-59.56,,04-29
98,300056,三维丝,0.6,185.71,,16.78,,22061.48,220.32,,04-29
99,600890,中房股份,-0.07,-462.5,,-13.69,,-4201.88,-446.3,,04-29
100,000659,珠海中富,-0.45,800.0,,-75.3,,-57349.47,764.19,,04-29
101,600645,中源协和,0.1,-81.48,,2.41,,3785.99,-81.83,,04-29
102,600015,华夏银行,1.84,3.95,12.37,15.75,13.09,1967700.0,4.2,,04-29
103,002192,融捷股份,0.02,-66.67,,0.73,,530.54,-40.41,,04-29
104,600844,丹化科技,-0.19,386.04,,-13.89,,-16430.53,435.76,,04-29
105,000426,兴业矿业,0.06,-373.08,,3.12,,8945.87,-460.08,10派0.2,04-29
106,600129,太极集团,2.0,268.05,,76.11,,85331.85,267.84,10派3,04-29
107,600150,中国船舶,-1.89,-4825.0,,-16.03,,-260682.0,-4314.78,,04-29
108,600543,莫高股份,0.06,0.0,,1.85,,2032.86,5.69,,04-29
109,600186,莲花健康,0.06,-112.53,,57.0,,6524.74,-112.83,,04-29
110,600297,广汇汽车,0.51,29.37,,12.58,,280290.24,40.97,10转3派2,04-29
111,000886,海南高速,0.06,-127.95,,2.49,,6341.41,-127.96,,04-29
112,000158,常山股份,0.28,16.67,,6.27,,34991.45,40.32,10派0.6转3,04-29
113,600568,中珠医疗,0.46,214.01,,6.27,,29417.41,300.72,10派0.5转18,04-29
114,600191,华资实业,0.02,-93.27,,0.44,,993.96,-93.27,10派0.1,04-29
115,600210,紫江企业,0.15,108.45,,5.36,,22388.6,108.94,10派1,04-29
