code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600353,旭光股份,元器件,四川,155.72,54372.0,54372.0,149750.86,118186.9,24209.0,11375.75,0.21,0.016,1.92,5.34,20021120
600828,茂业商业,百货,四川,18.74,56981.73,173198.25,887514.69,272006.78,153051.63,33173.8,0.19,0.102,1.64,4.65,19940224
000040,东旭蓝天,全国地产,深圳,155.99,46458.83,133717.31,686869.5,635958.56,6699.4,27835.58,0.21,0.022,2.89,4.82,19940808
000006,深振业Ａ,区域地产,深圳,62.3,134026.59,134999.5,1278111.75,1040924.13,316.63,48432.15,0.36,0.036,3.29,2.74,19920427
002404,嘉欣丝绸,纺织,浙江,68.9,39227.58,52065.0,202609.63,112404.85,34895.48,32207.05,0.62,0.03,2.43,3.35,20100511
600684,珠江实业,全国地产,广东,40.94,71121.72,71121.72,1034552.69,993986.63,23216.92,8592.11,0.12,0.053,3.29,2.62,19931028
002486,嘉麟杰,服饰,上海,0.0,80050.0,83200.0,155783.38,45640.06,76849.24,201.46,0.0,-0.019,1.08,5.5,20101015
002116,中国海诚,建筑施工,上海,32.69,41224.25,41472.12,356770.72,317587.25,27171.65,8817.46,0.21,0.23,2.96,4.97,20070215
000722,湖南发展,水力发电,湖南,36.39,46415.58,46415.82,300229.47,67987.0,167883.34,213774.05,4.61,0.208,5.76,2.63,19970522
300275,梅安森,软件服务,重庆,0.0,11282.16,16753.59,84550.43,45707.55,13595.27,24743.32,1.48,-0.19,3.31,5.83,20111102
600252,中恒集团,中成药,广西,28.8,327524.25,347510.72,596028.81,286240.44,94135.05,8586.05,0.02,0.04,1.45,3.19,20001130
002443,金洲管道,钢加工,浙江,64.44,50305.71,52053.55,293586.69,169013.13,75310.46,77365.81,1.49,0.101,3.8,3.43,20100706
002341,新纶科技,化工原料,深圳,89.3,25890.58,37344.0,396774.69,180730.09,97816.47,78432.03,2.1,0.055,3.91,5.01,20100122
000813,天山纺织,纺织,新疆,0.0,36345.07,46749.53,197241.59,36775.12,70195.75,107593.72,2.3,-0.02,2.26,6.65,19980519
600159,大龙地产,区域地产,北京,50.11,83000.32,83000.32,298832.84,261972.77,4989.16,34618.84,0.42,0.026,2.59,2.01,19980526
300288,朗玛信息,软件服务,贵州,143.44,16966.33,33794.14,127918.13,45524.23,11617.23,31472.85,0.93,0.116,3.02,11.01,20120216
000838,财信发展,区域地产,北京,171.67,63349.89,110046.21,471520.09,441129.81,6596.02,24183.9,0.22,0.017,1.4,8.15,19970626
600211,西藏药业,中成药,西藏,82.73,11410.9,14558.9,72594.46,47214.81,10472.8,21667.2,1.49,0.138,3.5,13.02,19990721
600650,锦江投资,公共交通,上海,79.77,39056.01,55161.01,467302.91,102955.3,110296.02,39561.23,0.72,0.089,6.0,4.76,19930607
600812,华北制药,化学制药,河北,196.23,137857.75,163080.45,1632924.38,677910.0,590986.31,347034.91,2.13,0.009,3.25,2.05,19940114
600012,皖通高速,路桥,安徽,22.82,116560.0,165861.0,1279596.63,200222.02,93655.59,28052.33,0.17,0.153,5.05,2.77,20030107
000952,广济药业,化学制药,湖北,52.83,25167.98,25170.55,165082.84,45625.26,49941.56,6079.37,0.24,0.092,2.13,9.1,19991112
000158,常山股份,纺织,河北,0.0,76578.56,127144.22,1103336.25,604676.13,133666.56,326592.03,2.57,-0.021,4.25,3.21,20000724
600171,上海贝岭,半导体,上海,207.8,67380.77,67380.77,206193.84,155622.97,8293.62,80176.53,1.19,0.041,2.73,6.26,19980924
300121,阳谷华泰,化工原料,山东,76.83,26945.91,28922.0,127825.77,74271.25,43019.78,9642.1,0.33,0.056,1.84,9.37,20100917
