,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300530,达志科技,0.72,0.0,4.83,16.18,1.17,3798.98,0.65,,07-27
1,300531,优博讯,0.99,25.32,4.43,25.19,0.78,5949.47,25.97,,07-25
2,600977,中国电影,0.62,75.64,3.42,20.1,1.44,86831.78,75.88,,07-20
3,601811,新华文轩,0.57,1.79,6.41,9.83,0.9,64726.95,2.29,,07-19
4,300528,幸福蓝海,0.46,31.43,,8.69,1.65,10707.1,30.41,,07-18
5,300527,华舟应急,0.39,28.95,2.64,15.55,1.63,13589.21,28.99,,07-15
6,300529,健帆生物,0.54,25.58,1.52,39.58,0.55,20044.1,25.24,,07-14
7,603322,超讯通信,0.71,47.92,3.99,19.7,0.59,4264.08,49.42,,07-14
8,300526,中潜股份,0.66,29.41,4.21,17.14,1.71,4224.83,31.39,,07-13
9,300525,博思软件,0.72,17.79,4.51,17.54,0.96,3673.2,17.79,,07-13
10,002806,华锋股份,0.43,58.3,3.77,12.01,0.49,2564.14,58.28,,07-12
11,300523,辰安科技,1.3,120.34,5.25,27.59,0.96,7779.77,118.02,,07-11
12,603663,三祥新材,0.33,10.0,,14.64,0.53,3309.64,9.08,,07-11
13,002803,吉宏股份,0.43,,2.94,14.6,0.64,3738.44,95.89,,06-22
14,300521,爱司凯,0.71,14.52,3.83,20.52,0.51,4280.32,14.27,,06-22
15,300522,世名科技,1.11,24.72,4.56,27.32,1.18,5528.81,23.83,,06-21
16,603069,海汽集团,0.29,3.57,2.95,10.41,0.99,6888.77,4.69,,06-21
17,300520,科大国创,0.64,30.61,3.85,18.31,0.51,4444.85,32.8,,06-20
18,600919,江苏银行,0.91,8.33,6.27,15.72,14.3,949743.3,9.36,,06-20
19,002805,丰元股份,0.36,-23.4,5.67,6.48,0.38,2631.11,-23.08,,06-20
20,601966,玲珑轮胎,0.68,-18.07,4.36,15.25,1.01,67761.09,-18.77,,06-13
21,603016,新宏泰,0.59,-3.28,4.12,15.49,0.8,6588.17,-2.76,,06-08
22,603958,哈森股份,0.73,14.22,3.93,20.07,0.25,11912.08,14.13,,06-07
23,002802,洪汇新材,0.56,47.37,3.47,17.54,0.64,4537.01,46.9,,06-07
24,002801,微光股份,1.86,15.53,9.29,22.17,2.21,8222.46,16.01,,06-07
25,300519,新光药业,1.98,12.5,5.16,44.38,2.08,11878.42,12.43,,06-06
26,300517,海波重科,0.59,18.0,4.19,15.15,0.97,4528.9,18.25,,06-06
27,603909,合诚股份,0.71,7.98,3.98,19.34,0.62,5300.24,7.98,,06-06
28,300518,盛讯达,1.32,5.6,6.94,20.97,1.26,9213.64,5.01,,06-06
29,601127,小康股份,0.5,25.0,3.46,15.67,0.52,37236.97,23.93,,05-23
30,300515,三德科技,0.56,-10.33,3.04,19.52,0.37,4217.19,-10.33,,05-20
31,002799,环球印务,0.46,-11.54,4.25,11.6,0.84,3484.13,-8.65,,05-19
32,603131,上海沪工,0.65,-4.41,4.47,15.42,0.89,4848.14,-4.44,,05-18
33,002800,天顺股份,0.58,0.0,4.83,12.73,0.82,3272.91,1.06,,05-17
34,300513,恒泰实达,0.68,12.9,5.37,13.55,0.54,3893.73,12.9,,05-16
35,603959,百利科技,0.45,4.65,2.74,17.68,0.22,7487.45,4.74,,05-16
36,603737,三棵树,1.54,12.41,7.31,23.2,2.86,11550.94,12.51,,05-16
37,601611,中国核建,0.38,18.75,2.87,15.79,0.32,79753.16,19.7,,05-16
38,300516,久之洋,1.33,29.13,4.39,33.82,1.39,11981.02,28.68,,05-16
39,002425,凯撒股份,0.19,850.0,,4.42,,8091.47,1132.71,,04-30
40,000511,*ST烯碳,0.0,-100.87,,0.16,,226.75,-100.84,,04-30
41,000887,中鼎股份,0.64,23.08,,21.69,,71370.59,25.97,10派0.8,04-30
42,300142,沃森生物,-0.6,-198.36,,-33.62,,-84089.53,-686.3,,04-30
43,002647,宏磊股份,0.04,-118.18,,0.87,,866.22,-118.14,,04-30
44,002312,三泰控股,-0.04,-116.0,,-2.06,,-3792.79,-140.33,10派0.5转5,04-30
45,000061,农产品,0.01,-75.65,,0.42,,2055.51,-75.64,10派0.5,04-30
46,000611,*ST天首,-1.11,581.7,,-96.93,,-35606.12,581.61,,04-30
47,600461,洪城水业,0.57,26.67,,9.76,,18954.24,27.79,,04-30
48,000938,紫光股份,0.74,20.79,,6.92,,15215.56,20.93,10派0.2,04-30
49,600677,航天通信,0.03,-105.07,,0.65,,1082.25,-104.39,10派0.2,04-30
50,000638,万方发展,-0.11,-1267.35,,-16.12,,-3539.38,-1269.91,,04-30
51,000691,ST亚太,0.04,-155.4,,16.26,,1159.38,-155.35,,04-30
52,000809,铁岭新城,-0.22,-540.0,,-5.31,,-17933.97,-723.32,,04-30
53,002069,*ST獐岛,-0.34,-79.54,,-24.04,,-24293.63,-79.57,,04-30
54,600767,运盛医疗,-0.21,-371.05,,-21.2,,-7024.38,-370.34,,04-30
55,000630,铜陵有色,-0.07,-136.84,,-4.63,,-66643.27,-321.66,,04-30
56,300318,博晖创新,0.03,-86.98,,1.07,,1188.2,-68.85,10派0.03转10,04-30
57,000723,美锦能源,-0.19,-733.33,,-10.46,,-36427.42,-3940.28,,04-30
58,000539,粤电力A,0.62,-10.14,,14.42,,323773.33,7.78,10派2.3,04-30
59,002306,中科云网,0.08,-109.41,,-122.27,,6557.4,-109.59,,04-30
60,000020,深华发A,-0.02,-187.82,,-2.27,,-673.15,-187.56,,04-30
61,002496,辉丰股份,0.45,-28.57,,6.1,,17290.33,-14.09,10转28派1,04-30
62,002403,爱仕达,0.36,5.88,,6.8,,11339.46,39.4,,04-30
63,300142,沃森生物,-0.6,-198.36,,-33.62,,-84089.53,-686.3,,04-30
64,002425,凯撒股份,0.19,850.0,,4.42,,8091.47,1132.71,,04-30
65,000511,*ST烯碳,0.0,-100.87,,0.16,,226.75,-100.84,,04-30
66,000887,中鼎股份,0.64,23.08,,21.69,,71370.59,25.97,10派0.8,04-30
67,000061,农产品,0.01,-75.65,,0.42,,2055.51,-75.64,10派0.5,04-30
68,002647,宏磊股份,0.04,-118.18,,0.87,,866.22,-118.14,,04-30
69,002312,三泰控股,-0.04,-116.0,,-2.06,,-3792.79,-140.33,,04-30
70,600461,洪城水业,0.57,26.67,,9.76,,18954.24,27.79,,04-30
71,000611,*ST天首,-1.11,581.7,,-96.93,,-35606.12,581.61,,04-30
72,000938,紫光股份,0.74,20.79,,6.92,,15215.56,20.93,10派0.2,04-30
73,600677,航天通信,0.03,-105.07,,0.65,,1082.25,-104.39,10派0.2,04-30
74,000638,万方发展,-0.11,-1267.35,,-16.12,,-3539.38,-1269.91,,04-30
75,000691,ST亚太,0.04,-155.4,,16.26,,1159.38,-155.35,,04-30
