,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300530,达志科技,0.72,0.0,4.11,19.17,0.75,3774.27,0.28,,07-27
1,300531,优博讯,0.79,3.95,3.44,24.93,-0.31,4722.91,2.96,,07-25
2,600977,中国电影,0.35,15.36,2.79,13.44,0.71,49370.82,15.29,,07-20
3,601811,新华文轩,0.56,1.82,5.25,11.19,0.77,63278.74,1.59,,07-19
4,300528,幸福蓝海,0.35,-28.57,,7.21,1.14,8210.33,-28.25,,07-18
5,300527,华舟应急,0.3,17.37,2.32,14.2,1.24,10535.44,17.31,,07-15
6,300529,健帆生物,0.43,26.47,,41.35,0.37,16004.82,26.24,,07-14
7,603322,超讯通信,0.48,65.52,3.34,15.15,1.03,2853.67,66.25,,07-14
8,300526,中潜股份,0.51,-23.88,3.54,15.36,0.8,3215.41,-24.86,,07-13
9,300525,博思软件,0.61,12.23,3.79,17.77,0.57,3118.53,12.24,,07-13
10,002806,华锋股份,0.27,-35.11,3.35,8.41,0.31,1620.02,-35.11,,07-12
11,300523,辰安科技,0.59,-19.18,4.05,15.3,0.62,3568.35,-19.08,,07-11
12,603663,三祥新材,0.3,-14.29,,14.62,0.41,3034.13,-14.87,,07-11
13,300521,爱司凯,0.62,-11.43,3.12,22.24,0.22,3745.88,-11.32,,06-22
14,002803,吉宏股份,,,,8.58,0.18,1908.39,-47.47,,06-22
15,300522,世名科技,0.89,12.66,3.61,26.5,0.51,4464.8,12.6,,06-21
16,603069,海汽集团,0.28,12.0,,11.16,1.15,6580.1,12.42,,06-21
17,600919,江苏银行,0.84,-2.33,,16.76,16.89,868494.7,6.1,,06-20
18,002805,丰元股份,0.47,62.07,,8.88,0.32,3420.51,61.87,,06-20
19,300520,科大国创,0.49,-20.97,3.23,16.15,0.31,3346.93,-22.09,,06-20
20,601966,玲珑轮胎,0.83,-15.31,4.54,19.99,0.77,83417.07,-14.88,,06-13
21,603016,新宏泰,0.61,-3.17,3.53,18.92,0.68,6775.06,-3.46,,06-08
22,002802,洪汇新材,0.38,-25.49,,14.01,0.32,3088.59,-25.5,,06-07
23,002801,微光股份,1.61,15.83,,23.4,1.47,7087.84,15.45,,06-07
24,603958,哈森股份,0.64,-26.44,,20.95,1.55,10437.51,-26.36,,06-07
25,300517,海波重科,0.5,6.38,3.6,14.86,0.5,3830.06,6.92,,06-06
26,603909,合诚股份,0.65,3.84,3.35,21.55,0.37,4908.47,3.83,,06-06
27,300518,盛讯达,1.25,14.68,5.62,25.11,1.86,8774.09,15.37,,06-06
28,300519,新光药业,1.76,45.45,4.15,47.33,1.66,10565.15,45.79,,06-06
29,601127,小康股份,0.4,-18.37,,14.91,0.53,30046.55,-17.84,,05-23
30,300515,三德科技,0.63,1.49,2.64,25.36,0.2,4703.09,1.49,,05-20
31,002799,环球印务,0.52,8.33,,14.5,0.97,3814.23,5.9,,05-19
32,603131,上海沪工,0.68,1.49,3.95,18.1,0.72,5073.57,0.4,,05-18
33,002800,天顺股份,0.58,1.75,4.36,14.07,-0.97,3238.43,2.14,,05-17
34,601611,中国核建,0.32,10.34,,17.82,-1.21,66628.51,10.99,,05-16
35,300516,久之洋,1.03,18.39,3.27,35.32,0.41,9310.39,18.31,,05-16
36,300513,恒泰实达,0.6,-20.71,4.69,13.76,-0.08,3448.72,-20.71,,05-16
37,603737,三棵树,1.37,3.01,6.17,24.3,1.69,10266.53,2.63,,05-16
38,300512,中亚股份,1.24,44.19,4.63,30.84,1.76,12507.07,43.06,,04-29
39,002798,帝王洁具,0.69,-14.81,,13.67,0.42,4455.51,-14.58,,04-28
40,603339,四方冷链,0.89,39.06,4.01,24.69,0.79,13806.24,38.54,,04-27
41,603959,百利科技,0.43,-15.69,,20.16,-1.61,7148.56,-16.65,,04-26
42,002797,第一创业,0.26,225.0,,10.5,1.26,50816.62,212.19,,04-25
43,002796,世嘉科技,0.95,10.47,,26.04,1.15,5708.51,10.34,,04-25
44,603779,威龙股份,0.24,0.0,3.25,7.5,1.72,3529.1,-0.34,,04-25
45,300510,金冠电气,0.7,6.06,4.1,18.4,0.23,4530.58,10.65,,04-18
46,603101,汇嘉时代,0.59,18.15,3.09,20.23,1.59,10595.39,18.15,,04-15
47,300511,雪榕生物,0.85,21.43,4.65,20.09,2.25,9545.16,21.34,,04-14
48,603822,嘉澳环保,0.66,12.51,6.72,10.29,-0.05,3616.16,12.5,,04-14
