,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300530,达志科技,0.72,12.5,3.39,23.64,0.52,3763.57,11.69,,07-27
1,300531,优博讯,0.76,13.43,2.82,31.36,0.1,4587.08,14.84,,07-25
2,600977,中国电影,0.31,-23.5,2.46,13.29,0.8,42822.05,-23.52,,07-20
3,601811,新华文轩,0.55,0.0,4.77,12.03,0.23,62288.18,-0.11,,07-19
4,300528,幸福蓝海,0.49,8.89,,11.0,-0.62,11442.56,10.01,,07-18
5,300527,华舟应急,0.26,40.76,2.02,13.98,0.38,8980.94,40.7,,07-15
6,300529,健帆生物,0.34,-54.05,,38.88,0.36,12678.46,26.75,,07-14
7,603322,超讯通信,0.29,-55.38,2.91,10.14,-0.47,1716.47,-55.73,,07-14
8,300525,博思软件,0.54,-11.51,3.16,19.03,0.4,2778.41,-10.14,,07-13
9,300526,中潜股份,0.67,8.06,3.04,24.88,0.52,4279.24,7.86,,07-13
10,002806,华锋股份,0.42,-22.17,3.08,14.51,0.25,2496.53,-22.16,,07-12
11,300523,辰安科技,0.73,30.36,3.56,22.8,0.18,4409.93,31.91,,07-11
12,603663,三祥新材,0.35,12.9,,18.92,0.25,3564.07,18.89,,07-11
13,002803,吉宏股份,0.42,0.0,,18.53,0.41,3633.21,2.71,,06-22
14,300521,爱司凯,0.7,12.9,2.49,32.86,0.23,4224.23,14.46,,06-22
15,300522,世名科技,0.79,29.51,3.21,27.65,0.4,3965.17,30.55,,06-21
16,603069,海汽集团,0.25,0.0,,11.31,1.15,5852.92,-2.59,,06-21
17,600919,江苏银行,0.86,11.69,,21.69,5.03,818550.2,16.34,,06-20
18,002805,丰元股份,0.29,-50.85,,5.76,0.6,2113.11,-50.72,,06-20
19,300520,科大国创,0.62,3.33,2.86,23.5,0.55,4296.09,5.95,,06-20
20,601966,玲珑轮胎,0.98,71.93,3.85,28.89,0.85,98001.25,71.88,,06-13
21,603016,新宏泰,0.63,10.53,2.92,21.6,0.98,7017.94,10.07,,06-08
22,002802,洪汇新材,0.51,-30.14,,20.07,0.71,4145.88,-29.51,,06-07
